CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,STREET,CITY,STATE,COUNTRY,UPDATE_TIMESTAMP
0,Matthew,Harrison,rjackson@example.org,3517 Robinson River,Port Sharon,South Carolina,Israel,2024-10-07 09:30:06.729 Z
1,Robert,Hampton,vskinner@example.org,33729 Ellis Fall,New Stephanieborough,Pennsylvania,Cayman Islands,2024-10-07 09:30:06.729 Z
3,Corey,Mocker,daniel49@example.com,08295 Johnson Ports Suite 017,Martinport,Maine,British Virgin Islands,2024-10-07 09:30:06.729 Z
2,Kyle,Mitchell,zgonzalez@example.com,91492 Hansen Rapids Apt. 551,North Victor,Mississippi,France,2024-10-07 09:30:06.729 Z
4,Brenda,Henderson,villanuevaphillip@example.net,46371 Gaines Circles Suite 976,Kelliside,Michigan,Saint Vincent and the Grenadines,2024-10-07 09:30:06.729 Z
5,George,Gentry,hensonsarah@example.org,90331 Oliver Pine,Port Joshuachester,Texas,Guam,2024-10-07 09:30:06.729 Z
6,Tricia,Houston,duncanvictor@example.org,29786 Collier Port Apt. 577,North Steven,Wyoming,Madagascar,2024-10-07 09:30:06.729 Z
7,Jeremy,Johnson,blackwellmegan@example.org,50889 Johnson Junction,West Philip,Mississippi,Thailand,2024-10-07 09:30:06.729 Z
8,Stacy,Jones,briansweeney@example.com,2974 Snyder Islands Suite 300,New Richard,New Jersey,Saudi Arabia,2024-10-07 09:30:06.729 Z
9,Tiffany,Silva,maryrodriguez@example.com,96496 Randy Alley Apt. 060,Lake Tracy,California,Namibia,2024-10-07 09:30:06.729 Z
10,Nicole,Gardner,ryanmichelle@example.com,3288 Preston Course,Andersonhaven,Maryland,Malta,2024-10-07 09:30:06.729 Z
11,Christina,Ashley,jaredcobb@example.net,2682 Steven Glens,South Allison,Minnesota,Philippines,2024-10-07 09:30:06.729 Z
12,Jason,Berry,xpark@example.com,0791 Mary Manor Suite 678,East Lauren,Wyoming,British Virgin Islands,2024-10-07 09:30:06.729 Z
13,Nicole,Nunez,nicholaswilliams@example.net,02288 Eduardo Mews Apt. 477,Brianside,Kansas,Nepal,2024-10-07 09:30:06.729 Z
14,April,Smith,cody54@example.com,65049 Massey Keys,Nicholsborough,Iowa,Dominican Republic,2024-10-07 09:30:06.729 Z
15,Logan,Bryant,barbarasantana@example.net,3756 Vang Hills Suite 918,Reneemouth,South Carolina,Egypt,2024-10-07 09:30:06.729 Z
16,Alex,Harrington,fday@example.net,23532 Carol Course Apt. 640,South Carolynhaven,Colorado,Norfolk Island,2024-10-07 09:30:06.729 Z
17,Crystal,Jones,harpercaitlin@example.net,277 Cline Land Suite 788,Elliottberg,Tennessee,Slovakia (Slovak Republic),2024-10-07 09:30:06.729 Z
18,Caitlyn,Sullivan,tiffany09@example.net,18492 Summers Via,East Deniseland,Massachusetts,United States Minor Outlying Islands,2024-10-07 09:30:06.729 Z
19,Crystal,Baker,murphykaren@example.org,0468 Valdez Street,Davidton,Colorado,Hungary,2024-10-07 09:30:06.729 Z
20,Christina,Harvey,mcintoshjoshua@example.net,8850 Wright Square,Bradleyhaven,Connecticut,American Samoa,2024-10-07 09:30:06.729 Z
